Ticket.ID,Ticket.Open.Date...Time,Ticket.Close.Date...Time,Ticket_Summary
456856,01-04-2015,01-08-2015,"<L1>COUNTWISE | MAC : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Macau (2, 17)"
456865,01-04-2015,01-12-2015,CSA|HAW : Customer Receipt
456866,01-04-2015,01-12-2015,L1|POS |HAW : 239 POS
456875,01-04-2015,01-12-2015,Different Wincor showing different prices
456876,01-04-2015,1/13/2015,L1: Sales report
456881,01-04-2015,01-08-2015,"<L1>Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Hawaii (5, 15)"
456883,01-05-2015,1/14/2015,add drive allowance & promotional allowance to TA web report
456891,01-05-2015,01-08-2015,"<L1>COUNTWISE | SIN :  Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Guam, Saipan and Okinawa (10, 12, 13, 14, 8, 9)"
456896,01-05-2015,1/21/2015,L1:INFORM_Weekend_Monitoring
456899,01-05-2015,1/19/2015,Inventory Variance Analysis ticket
456900,01-05-2015,01-12-2015,L1:Vietnam sales posting
456921,01-05-2015,01-07-2015,L1 | POS |HKIA - Delayed Transaction 
456925,01-05-2015,01-07-2015,L1 | POS|Delayed Transaction in NAM
456927,01-05-2015,01-09-2015,L2: error when launching P2P.
456930,01-05-2015,1/16/2015,ZCLP POSTED WITH ERROR IN YEAR 2014
456931,01-05-2015,01-09-2015,E-leave carry forward 2014
456936,01-05-2015,1/15/2015,Request to Install Customer Displays on Sunglasses POS on 2nd and 3rd Floor 
456940,01-05-2015,1/28/2015,L1 |Wincor monitoring
456942,01-05-2015,1/28/2015,L1 | Sales check reported by backend Team
456950,01-05-2015,1/22/2015,Add fields to YFVENDPAY
456950,01-05-2015,1/22/2015,Add fields to YFVENDPAY
456950,01-05-2015,1/22/2015,Add fields to YFVENDPAY
456950,01-05-2015,1/22/2015,Add fields to YFVENDPAY
456951,01-05-2015,1/13/2015,Item style does not interface over to SAP PO.
456960,01-05-2015,01-07-2015,Variance between SAP and INFORM for MAC December
456965,01-05-2015,01-06-2015,DMS|SIN : SKUS NOT SHOWN ON PCN REPORT [URGENT]
456969,01-05-2015,01-09-2015,SAP | SIN:Request for access in P2P for Company Code 1141 and Purchasing Org Unit P108
456970,01-05-2015,01-12-2015,L1|{NodesDevice_Role} (LOW DISK SPACE ALERT) > PWHKGTAP01.DFSPOS.COM > IP Address 10.179.9.200---> Threshold < 20%
456974,01-05-2015,1/13/2015,"CATS function ""transaction association"" too slow "
456983,01-05-2015,01-08-2015,CATS not working.
456984,01-05-2015,01-05-2015,Goods movement(WMMBXY)  I-doc failed due to PO- 3000226478 Lines # 37 blocked in SAP.
456985,01-05-2015,01-07-2015,CRS::SIN||Business date correction for December-2014 in CRS
456987,01-05-2015,01-06-2015,"PO Change I-doc  failed with error message as "" PO Quantity smaller than GR/IR quantity"""
456990,01-05-2015,01-07-2015,L1|POS|Saipan To post missing transactions 
456991,01-05-2015,01-07-2015,L1|POS|Guam To post the missing transactions
456999,01-05-2015,1/13/2015,To find the rootcasue of posting the transactions with zero retail amount
457001,01-05-2015,01-09-2015,Request to extract the latest retail price of Hainan MCS for 441 location for the month of Dec
457004,01-05-2015,1/27/2015,<L2>Hysan Store performance report - Dec 30 & 31
457005,01-05-2015,01-06-2015,MCS | NAM : December MCS Rejection SKU's for NAM
457006,01-05-2015,01-12-2015,MCS Inventory
457008,01-05-2015,01-07-2015,MIDPAC sales for location 67
457009,01-05-2015,1/13/2015,"MCS | HKG:Discrepancy between MCS and DCS (Jan 5, 2015)"
457013,01-05-2015,01-08-2015, Year End Monitoring 
457020,01-05-2015,01-08-2015,"Unlock PO Line 120, PO Number 3000226763"
457021,01-05-2015,01-06-2015,"Condition record I-doc (COND_A) failed with error ""Currency not interfaced from DMS"""
457023,01-05-2015,01-05-2015,SAP|SIN : Interco clearing
457023,01-05-2015,01-05-2015,SAP|SIN : Interco clearing
457023,01-05-2015,01-05-2015,SAP|SIN : Interco clearing
457023,01-05-2015,01-05-2015,SAP|SIN : Interco clearing
457025,01-05-2015,1/21/2015,SG bounce back promotion
457029,01-05-2015,01-07-2015,Points Promotion report
457031,01-05-2015,01-08-2015,L1|No Year 2015 EJ available in Escape for New Zealand L68 & L 80 and Singapore Loc 71 & 75
457032,01-05-2015,1/28/2015,Request for Access to UAT system
457033,01-05-2015,1/28/2015,Request for access in Kronos UAT environment
457036,01-05-2015,1/27/2015,L1|To check the sku details from backend.
457045,01-05-2015,01-09-2015,URGENT - DMS: Duplicate Division 50 RSKU - Cartier Store Rebalance
457046,01-05-2015,1/23/2015,D86 / Buyer 850 SR Update in DMS 
457050,01-05-2015,1/16/2015,DWBI | HAW: Month-to-Date Store Performance Report (Daily)_HAW_WAIKIKI_2015-01-03.xlsb
457052,01-05-2015,1/16/2015,HR | SIN:New Wage Type on SAP
457054,01-05-2015,1/14/2015,MCS invalid SKU rectification in HK division
457058,01-05-2015,1/14/2015,"Chanel PO#30-624419, inv#IN019739"
457060,01-05-2015,01-09-2015,L1 : Condition and Info record Create I-Docs failed as Article and listing was not send to SAP
457068,01-05-2015,1/14/2015,Re-interface the master Selling group information for location ID = 0 
457071,01-05-2015,01-06-2015,Unable to change vendor contact in SAP
457074,01-05-2015,01-06-2015,L2: Basis | SIN:SAP PRINTER OPTION
457078,01-05-2015,01-06-2015,SKU Creation - Clarisonic CNY edition 
457086,01-05-2015,01-08-2015,L1|EJ not updated for 2015 for IBM POS transactions (Hawaii)
457093,01-05-2015,01-12-2015,L1|Macau CoD POS issue
457094,01-05-2015,1/14/2015,<L2>Macau CoD POS issue
457098,01-05-2015,01-09-2015,Reqeust to extract updated Div Loc Listing
457101,01-05-2015,01-06-2015,"L1: Remove/Delete User Email Address/Account totally from Global Address Distribution List - Lam, Kar Yee"
457102,01-05-2015,1/21/2015,Latest Vendor Terms List Report
457111,01-05-2015,01-05-2015,L2: FW: Your SAP Portal password has been reset
457112,01-05-2015,1/28/2015,"Request to perform clean up for next GDC Cross Dock Order number range for phase 3 , 4 and 5"
457113,01-05-2015,1/14/2015,CSM|OKI : D65 Lease sales correction 150104
457114,01-05-2015,1/14/2015,CATS :: E-TR: Transaction made by members
457115,01-05-2015,01-12-2015,RTV Create I-doc  (PORDCR1)  failed as PO header data was not maintained fully in I-Doc  (Document type )
457122,01-05-2015,01-06-2015,L2: Authorization required for the datafix-CA454743 - Purchase Info Records Deletion in SAP
457123,01-05-2015,01-08-2015,"CW|SPN:Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Guam, Saipan and Okinawa (10, 12, 13, 14, 8, 9)"
457128,01-05-2015,1/28/2015,Guerlain Automation payout for Push Money -Sep
457131,01-05-2015,1/22/2015,To validate MCS vs Insight sales data for December 2014 and process into the system 
457132,01-05-2015,1/22/2015,to process commission and spiff jobs for December 2014 
457133,01-05-2015,01-06-2015,L1 : SAP | SIN : P2P user access 
457134,01-05-2015,01-06-2015,PO create & change I-Doc failed as Article master UOM and PO UOM are not matching.
457140,01-05-2015,1/19/2015,"L2:Dec'14 month end validation between MCS,SAP & inform "
457144,01-05-2015,01-12-2015,"User request to rename the old 8 series PO at SAP for preventing ""duplicate PO issue"""
457145,01-05-2015,01-06-2015,L2: Provide authorization for the user C_RSIVA in PR1
457146,01-05-2015,1/13/2015,Sales validation SAP vs Inform variance for Dec'14
457151,01-05-2015,01-07-2015,Transfer. 527241 on 12.29.14
457157,01-05-2015,01-12-2015,HKIA reports - Dec'14
457158,01-05-2015,01-12-2015,Sales breakdown by nationality- there seem to be 2 rows of “unknown”. 
457180,01-06-2015,1/14/2015,SCM | NAM | Clarisonic not scanning under Duty Paid
457186,01-06-2015,1/27/2015,SCM | NAM | Units sitting under PRE-ORDERED RESERVE
457187,01-06-2015,01-09-2015,"<L1> :: CW | AUS | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Australia (18, 19)"
457197,01-06-2015,01-09-2015,"<L1> :: CW | Okinawa | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Guam, Saipan and Okinawa (10, 12, 13, 14, 8, 9)"
457199,01-06-2015,1/13/2015,"<L1>CW | HKG | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Hong Kong (1, 3, 6, 24)"
457201,01-06-2015,01-09-2015,"<L1>CW | SIN | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Singapore (7, 22)"
457203,01-06-2015,01-09-2015,"<L1>CW | MAC | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Macau (2, 17)"
457210,01-06-2015,01-12-2015,L1|POS | IND | India Missing Transaction #15613
457211,01-06-2015,1/13/2015,L2:DWBI | GUM | Store Performance Reports - Conversion
457213,01-06-2015,1/13/2015,SAP | NZ | SAP NZ Absence rebooking 400854
457219,01-06-2015,1/14/2015,L1|Australia Missing transaction
457221,01-06-2015,1/13/2015,"Request to configure ""Hotel Info"" setting for Macau COD and FS POS. "
457238,01-06-2015,1/20/2015,Changing the status of ZMIRO
457242,01-06-2015,01-06-2015,SAP|SIN : Unable to call report for Company code 5251 only under SAP GR55
457246,01-06-2015,01-07-2015,SMRF AC 2015-A16 Rename cost centre 1161-UGO6610 from Pacific Management to Americas & Japan Region Management
457247,01-06-2015,1/16/2015,L1|POS| HKG | HKIA : Getting transaction details of Happy 2015 Promotion
457252,01-06-2015,1/22/2015,L1|Selective download for EC POS
457263,01-06-2015,1/14/2015,"MCS | SIN: GWP SKU unable to key into POS at T2 arrivals, location 47 and 48."
457270,01-06-2015,01-08-2015,"L1 | MCS|HKG : RL dated Sep 10, 2014 - Div 70 ----- POLO IDT ----- IDT-out#899969"
457271,01-06-2015,01-07-2015,SAP|HKG : Ticket # 7551 - 'MTSS.Non-merchandise Vendor Creation.Hong Kong' Has Been Assigned To You
457274,01-06-2015,1/23/2015,Kronos add new brand
457277,01-06-2015,1/14/2015,CATS | SIN : CATS system problems at Changi Airport
457278,01-06-2015,1/23/2015,Chinachem Mappings Data
457282,01-06-2015,1/21/2015, Debbie Chow #2211869
457291,01-06-2015,1/14/2015,Loc 221 reflecting in CSA005R report ( Hong Kong )
457292,01-06-2015,01-09-2015,CSA005R No MCS disc code for disc code 25 ( Hong Kong )
457297,01-06-2015,01-07-2015,L2: Provide authorization for the user C_RSIVA in PR1
457306,01-06-2015,01-07-2015,L1|POS|Saipan to post missing transactions
457308,01-06-2015,1/14/2015,No traffic for cam 60 & 65 on Jan 5th 
457310,01-06-2015,01-12-2015,L1|SIN : EJ for Jan 2015
457312,01-06-2015,01-09-2015,L1 :: Goods Movement I-Doc(WPUWBW) failed due to Article and listing was not send to SAP
457315,01-06-2015,01-12-2015,Invalid POS_LCTN_ID interfaced for HKIA location
457317,01-06-2015,1/26/2015,eGC sales has been wrongly interfaced from POS on 11.12.2014 to site 1208 cocd 1134 of amount 200 USD
457318,01-06-2015,1/20/2015,STK16R rpt (Consignment sku Purchase by vdr) for Vdr#8000854 Dec'14;Qty Variance 
457326,01-06-2015,1/16/2015,DIOR SLSRPT - Questions
457333,01-06-2015,1/29/2015,INTRANET|HKG : Vertu closing and open Fashion watch
457335,01-06-2015,01-08-2015,MIDPAC TAPA UPLOADED TO SAP - December 2014 
457337,01-06-2015,1/30/2015,POS|SIN : User requests access to EJ Viewer
457345,01-06-2015,1/16/2015,SAP PHR - Amendments to RU flow for Hong Kong
457347,01-06-2015,01-12-2015,L1:Run sales report from Sin Div MCS from Sept 14 to Oct 14
457354,01-06-2015,01-08-2015,FINANCE | SIN : 9211 – GL 1104342 and GL 1108999 only 
457359,01-06-2015,01-12-2015,No Check Encashment posting in Jan'15 for Dec'14 paid checks.
457362,01-06-2015,01-12-2015,SAP|SIN:Remove leave quota 02 and 03 
457366,01-06-2015,01-07-2015,"PO Change I-doc failed with error message as "" PO Quantity smaller than GR/IR quantity"""
457371,01-06-2015,01-07-2015,L2: Need access to the tcode SWIA and SWI5 in PR1
457377,01-06-2015,1/14/2015,Payment run issue - V#5012197 ESTEE LAUDER
457383,01-06-2015,1/13/2015,CSA|SIN : DFS FY2014 Audit - Hainan wholesales adjustment - P2 ticket
457413,01-06-2015,02-06-2015,L3:The division type for the Wholesale Sub Regions need to be update as 'Wholesale' 
457416,01-06-2015,01-09-2015,L1: Workflow access to user id JP0131827
457418,01-06-2015,01-12-2015,L1|POS|SIN : 03.01.2015 - 28 Sales not captured into system due to no DFS transaction number on receipts - HKIA
457420,01-06-2015,01-12-2015,L1|Macau POS#202 Issue
457422,01-06-2015,1/14/2015,[DFS 2014] Guam TAPA - Request for POS Sales by TAPA Agent
457436,01-06-2015,01-09-2015,L3: User request to deliver EGC report for year 2014
457440,01-06-2015,01-12-2015,DMS|HKG|CCM:Change DFS color code in DMS
457451,01-06-2015,01-07-2015,PO Create & change  I-Doc failed as Article master UOM are  “EA” “CAS” and ”C01” &  UOM in PO 'CO2' are not matching.
457452,01-06-2015,1/30/2015,<L2> : LoyalT Matrix - Address Issue
457453,01-06-2015,1/15/2015,CSM |VIETNAM : Perform SKU to SKU transfer 
457456,01-06-2015,1/27/2015,HAW: Create POS TC65 as follows by copying TC67
457458,01-06-2015,01-12-2015,Goods Movement I-Doc(WPUWBW) failed due to deficit  Qty Loc to Loc transfer in SAP
457462,01-06-2015,01-09-2015,Hawaii SAP and Inform Month-End Reconciliation-December 2014 
457463,01-06-2015,1/22/2015,SAP|SIN:BALI SHIPMENT TO PORT SURABAYA (GM SEA) # 2565 - 2X20' 
457464,01-06-2015,01-07-2015,CA : 457353 : CSKU 37584547 reflecting under rule number in PO#632939 
457466,01-06-2015,1/16/2015,Invoice Issue - Price Discrepancy for Various EDI Invoice Transmitted for Loreal Hong Kong-Coordinate with Vendor IT and Sterling 
457478,01-07-2015,1/15/2015,MCS | HAW: Downloading po's to my computer 
457490,01-07-2015,1/13/2015,"<L1>CW | NZ | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, New Zealand (4, 20)"
457492,01-07-2015,1/13/2015,"<L1>CW | AUS | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Australia (18, 19)"
457498,01-07-2015,1/13/2015,"<L1>CW | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Guam, Saipan and Okinawa (10, 12, 13, 14, 8, 9)"
457500,01-07-2015,01-12-2015,"<L1> :: CW | HKG | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Hong Kong (1, 3, 6, 24)"
457502,01-07-2015,01-12-2015,"<L1> :: CW | Sin | Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Singapore (7, 22)"
457504,01-07-2015,1/29/2015,SAP | GUM | Request to edit Paycode
457508,01-07-2015,1/15/2015,Brown Forman invoices
457511,01-07-2015,1/13/2015,L1 : SAP | SIN | Need to know how to cancel an order
457512,01-07-2015,1/29/2015,SAP | GUM | Create a Team Lead Incentive Team – LANCOME
457521,01-07-2015,1/13/2015,L1: Keystone - Request to link  invoicing party of vendor 155077 (5003956 -Diageo Brand BV) to vendor 147504 (5003552 - Diageo GTME Pte Ltd) 
457523,01-07-2015,1/15/2015,Variance between SAP and INFORM for MAC December 
457527,01-07-2015,1/23/2015,EOD TOOL
457532,01-07-2015,02-05-2015,Impact of having only 5 series vendors instead of both 5 and 8 series vendors
457537,01-07-2015,1/19/2015,P2P | SIN : User requests to Add Tan Chek Yong (CT0131546) as Intermediate Approver before Gurbinder Singh (SG0131183
457544,01-07-2015,1/14/2015,GVA load failure happened on 6th December
457548,01-07-2015,01-08-2015,L1 FI | NAM: Close Comete for FI posting
457550,01-07-2015,01-07-2015,PO Create & change  I-Doc failed as Article master UOM are  “EA” “CAS”  &  UOM in PO 'COO' are not matching.
457554,01-07-2015,01-12-2015,L1 :: Goods Movement I-Doc(WPUWBW) failed due to Article and listing was not send to SAP
457555,01-07-2015,01-10-2015,password reset for Krono system for staff 45844 Florence Li - cash office team leader
457560,01-07-2015,01-12-2015,P2P | HAW: Assistance in confirming goods in P2P
457562,01-07-2015,1/14/2015,POS |New Fashion Watch POS 
457567,01-07-2015,1/30/2015,L1|POS|To prepare SOP for POS issues
457576,01-07-2015,1/30/2015,L1|POS|Pos offline tracker
457579,01-07-2015,1/30/2015,2015- Department Restructing activity
457582,01-07-2015,02-02-2015,Givenchy EDI not received 
457585,01-07-2015,1/19/2015,New POS for Macau FS Moynat
457588,01-07-2015,1/15/2015,Info record change I-Doc (INFREC) failed as “info record interfaced with incomplete information”
457590,01-07-2015,1/16/2015,L1:RE: TCR loyal T daily report
457592,01-07-2015,1/21/2015,POS | HKG | HKIA : Asia Mile Promotion 
457596,01-07-2015,01-12-2015,Listing required
457597,01-07-2015,01-12-2015,New POS for Macau FS Moynat
457599,01-07-2015,01-12-2015,L1|POS|Saipan to post the missing transactions 
457600,01-07-2015,1/14/2015,L1 : SAP | SIN:SAP NetWeaver Portal_P2P-Overdue PO’s 
457601,01-07-2015,01-12-2015,CATS | SPN : DFS TXN not found in CATS
457606,01-07-2015,01-07-2015,PO Create & change  I-Doc failed as Article master UOM are  “EA” and “CAS” &  UOM in PO 'C00' are not matching.
457607,01-07-2015,01-07-2015,L1: Account Access Locked
457612,01-07-2015,1/15/2015,New POS for Macau FS Moynat
457621,01-07-2015,1/16/2015,HR | SIN:Create new IT15 wage type for Hainan
457622,01-07-2015,02-02-2015,New Fashion Watch POS 
457625,01-07-2015,1/13/2015,DFS Hainan-CSA005R-txn410-87-23681 invalid biz date
457631,01-07-2015,1/26/2015,<L2>FS traffic count on Jan 6th
457638,01-07-2015,1/16/2015,L1 : User requests for procedure to close PO
457640,01-07-2015,1/14/2015,POS | HKG | HKIA : New Customer Type - Happy Promotion 2015
457643,01-07-2015,1/15/2015,MD Skus convert back to Full Price
457647,01-07-2015,01-08-2015,Create an admin profile for the new CPRS admin to access the CPRS web application
457648,01-07-2015,01-12-2015,DMS | SIN : User reports wine cannot key/scan
457654,01-07-2015,1/14/2015,L1: update payment term for DIV 41
457657,01-07-2015,02-02-2015,HKIA Beauty SA ID correction - Dec-2014 Sales
457663,01-07-2015,1/14/2015,L1::SCM| SIN: User request to investigate the invoices which captured in exception and fix the same 
457664,01-07-2015,1/14/2015,L1::SCM| SIN:User request to monitor the WMS error log file and fix the same. 
457669,01-07-2015,1/15/2015,L1 : SAP|OKI:P2P-Overdue PO’s for your action
457675,01-07-2015,1/21/2015,L1 FI | SIN:Unblock cost center HKM6445
457675,01-07-2015,1/21/2015,L1 FI | SIN:Unblock cost center HKM6445
457675,01-07-2015,1/21/2015,L1 FI | SIN:Unblock cost center HKM6445
